id,customer_id,ticket_id,channel,message,sentiment,csat_score,timestamp
1,429,824,Call,"Hello Zara Yadav! I noticed that you mentioned needing better security measures for your FinEdge Capital account.",0.147,NULL,"2026-06-22 16:24:29"
2,304,327,Email,"Dear Ananya Nair, I've been experiencing issues with the legacy CRM import on your SkillForge Academy account. It's taking a long time and not working properly.",-0.777,NULL,"2026-07-03 13:10:27"
3,96,349,Chat,"Hi Emily Verma, I'm sorry to hear that you're having trouble with the legacy CRM import on your PaySwift FinTech account. We'll look into it right away.",0.023,NULL,"2026-06-20 23:18:40"
4,46,962,Email,"Dear Deepak Mishra, I've received feedback from several customers about the need for enhanced customer support. We'll definitely address this issue.",0.879,NULL,"2026-03-25 11:10:05"
5,195,93,Call,"Good morning Kavya Kapoor! I noticed that you're looking for more personalized learning materials. It's great to see your interest in improving the customer experience.",0.777,NULL,"2026-07-02 13:21:34"
6,429,824,Call,"Thank you for reaching out, Zara Yadav. We've implemented the security measures and should see improvements soon.",0.852,NULL,"2026-06-09 05:41:30"
7,304,327,Email,"I'm sorry for the delay, Ananya Nair. We've identified the root cause of the issue and are working on a solution to speed up the legacy CRM import process.",-0.137,NULL,"2026-06-28 10:34:04"
8,96,349,Chat,"I'm glad you're still experiencing issues, Emily Verma. We've taken the necessary steps to resolve this and will follow up with a solution soon.",0.202,NULL,"2026-07-03 08:14:17"
9,46,962,Email,"Thank you for your feedback, Deepak Mishra. We've taken the necessary steps to enhance our customer support and will address this issue as soon as possible.",0.562,NULL,"2026-04-18 14:36:46"
10,195,93,Call,"Thank you for your interest, Kavya Kapoor. We've implemented the personalized learning materials and will continue to improve our customer experience.",0.49,NULL,"2026-06-20 06:53:12"
11,358,656,Chat,"Hey Vikram, I noticed you're experiencing issues with SSO login redirects to an error page.",-0.878,NULL,"2026-06-24 01:34:09"
12,358,656,Call,"I'm sorry for the inconvenience. Let's investigate this further.",0.12,NULL,"2026-06-14 18:35:03"
13,243,25,Email,"Hi Arjun, I've received your request for automation in Healthcare Workflow Improvement.",0.719,NULL,"2026-04-07 04:21:17"
14,184,410,Chat,"I see you're having issues with Slack alerts not firing. Let's check if there are any updates on this.",-0.903,NULL,"2026-07-03 20:15:02"
15,184,410,Call,"I'm sorry for the issue. Let's resolve it right away.",0,NULL,"2026-07-02 07:15:10"
16,238,196,Email,"Hi Vishal, I've received your request for Slack alerts not firing.",0.532,NULL,"2026-05-05 06:17:38"
17,238,196,Call,"I'm sorry for the issue. Let's resolve it right away.",0.09,NULL,"2026-04-03 13:48:16"
18,215,38,Chat,"Hi Aditya, I've noticed an invoice mismatch after your renewal.",-0.754,NULL,"2026-06-23 01:15:40"
19,215,38,Call,"I'm sorry for the issue. Let's resolve it right away.",0.211,NULL,"2026-06-29 19:30:30"
20,243,25,Email,"Appreciate the report on 'Automation for Healthcare Workflow Improvement'. Assigning this to our team now.",0.046,3.9,"2026-06-20 20:24:33"
21,486,320,Email,"I'm sorry to hear that your legacy CRM import is failing again. Could you please provide more details about what's happening?",-0.809,3,"2026-06-13 22:21:46"
22,486,320,Email,"I see that your CRM import is failing again. Have you tried checking the logs for any errors or issues?",-0.863,3,"2026-06-04 05:43:36"
23,318,155,Email,"Thank you for reaching out, Aarav. I've reviewed your request and it seems we can provide more variety in our products.",0.695,5,"2026-06-18 16:08:00"
24,35,398,Email,"I'm sorry to hear that you're experiencing issues with your CRM import. Have you tried checking the logs for any errors or issues?",-0.812,3,"2026-04-16 03:25:15"
25,35,398,Email,"I see that you're experiencing issues with your CRM import. Have you tried checking the logs for any errors or issues?",-0.909,3,"2026-04-11 18:15:36"
26,156,113,Email,"I'm sorry to hear that your reporting needs are not being met. Have you considered using our new feature for better insights?",-0.877,2,"2026-03-26 16:40:33"
27,464,470,Email,"I'm sorry to hear that your legacy CRM import is failing again. Could you please provide more details about what's happening?",-0.69,3,"2026-05-24 09:06:18"
28,464,470,Email,"I see that your CRM import is failing again. Have you tried checking the logs for any errors or issues?",-0.843,3,"2026-05-25 00:04:47"
29,318,155,Call,"Got it - opening an investigation into 'Limited Product Variety Request' for CloudMind Systems right away.",-0.087,3.1,"2026-06-06 09:07:36"
30,156,113,Chat,"Thanks for flagging 'Needs better reporting for EdTech workflows'. We'll keep you posted as we dig in.",0.069,3.2,"2026-04-12 16:47:48"
31,205,696,Chat,"Hey Lakshmi, I noticed your Slack alerts haven't been firing recently. Could you check if there's anything wrong with the setup?",-0.008,NULL,"2026-07-04 15:13:56"
32,205,696,Call,"Hello Lakshmi, I'm reaching out to discuss your Slack alerts not firing. Could you please confirm if there's an issue with the setup?",-0.134,NULL,"2026-07-03 08:19:17"
33,128,179,Email,"Rohit, I noticed your invoice mismatch after renewal. Could you please check if there's an error in the billing process?",-0.062,NULL,"2026-06-11 11:11:18"
34,128,179,Chat,"Hello Rohit, I'm reaching out to discuss your invoice mismatch after renewal. Could you please confirm if there's an error in the billing process?",0.098,NULL,"2026-06-13 16:19:29"
35,120,483,Email,"Michael, I noticed your advanced financial tools need improvement. Could you please let me know if there's a feature request or issue with the current setup?",-0.103,NULL,"2026-06-19 06:42:38"
36,120,483,Call,"Hello Michael, I'm reaching out to discuss your advanced financial tools need improvement. Could you please let me know if there's a feature request or issue with the current setup?",0.141,NULL,"2026-06-25 14:22:27"
37,346,925,Chat,"Aarav, I noticed your better reporting needs for FinTech workflows. Could you please let me know if there's a feature request or issue with the current system?",-0.134,NULL,"2026-04-19 19:43:07"
38,346,925,Email,"Hello Aarav, I'm reaching out to discuss your better reporting needs for FinTech workflows. Could you please let me know if there's a feature request or issue with the current system?",0.139,NULL,"2026-04-08 04:58:07"
39,69,625,Call,"Rajesh, I noticed your high customer churn and low satisfaction. Could you please let me know if there's an issue with the current service or product?",-0.941,NULL,"2026-04-13 09:44:38"
40,69,625,Email,"Hello Rajesh, I'm reaching out to discuss your high customer churn and low satisfaction. Could you please let me know if there's an issue with the current service or product?",-0.982,NULL,"2026-04-24 14:00:57"
41,51,288,Email,"Hello Meera, I noticed an invoice mismatch after our recent renewal. Could you please check it out?",0.069,NULL,"2026-04-03 20:24:16"
