id,customer_id,title,description,category,priority,status,assigned_agent,created_at,updated_at,resolved_at
1,416,"Need advanced analytics for MarketPulse AI","Rohit Chopra needs more advanced analytics to improve his product management.",Technical,Medium,Open,Karthik_Nair,"2026-01-06 06:36:17","2026-01-28 14:03:21",NULL
2,490,"Better reporting for AI/ML SaaS workflows at FinEdge Capital","Sneha Williams needs better reporting tools to streamline her operations.",Account,Medium,Open,Karthik_Nair,"2026-01-21 08:39:17","2026-05-29 20:39:55",NULL
3,38,"Integration issues with RetailGenius's e-commerce workflows","Riya Agarwal needs better integration for her retail and e-commerce business.",Onboarding,Medium,Open,Ravi_Kumar,"2026-01-06 05:36:17","2026-05-07 13:50:03",NULL
4,90,"Integration with existing systems for PaySwift FinTech","Yash Verma needs better integration with his company's current systems.",Technical,Medium,Open,Karthik_Nair,"2026-06-05 06:44:17","2026-06-08 08:30:24",NULL
5,478,"Improved reporting for BioSync Healthcare's AI/ML SaaS workflows","Rajesh Rao needs better reporting tools to enhance his product management.",Account,Medium,Open,Ananya_Iyer,"2026-01-06 04:44:17","2026-06-11 21:46:31",NULL
6,416,"Invoice mismatch after renewal","MarketPulse AI reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,Resolved,Vikram_Rao,"2026-04-01 15:05:17","2026-04-03 23:45:49","2026-04-03 23:45:49"
7,490,"Slack alerts not firing","FinEdge Capital configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Low,Resolved,Vikram_Rao,"2026-06-22 02:56:17","2026-06-24 03:26:06","2026-06-24 03:26:06"
8,38,"Invoice mismatch after renewal","RetailGenius reports that the latest Enterprise renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Critical,Escalated,Meera_Joshi,"2026-06-12 07:35:17","2026-06-22 14:27:48",NULL
9,90,"Dashboard timeout on analytics export","PaySwift FinTech is seeing timeout errors when exporting analytics for their EdTech workflow. The issue blocks their weekly operations review.",Technical,Medium,"In Progress",Meera_Joshi,"2026-06-08 10:41:17","2026-06-20 05:54:14",NULL
10,478,"Legacy CRM import failing","BioSync Healthcare is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Critical,Closed,Vikram_Rao,"2026-04-05 06:13:17","2026-04-10 08:50:23","2026-04-10 08:50:23"
11,277,"Need better security features","Jessica Miller from SecureVault FinTech needs help with improving their security features.",Technical,Medium,Open,Karthik_Nair,"2026-05-29 12:32:17","2026-06-21 20:14:07",NULL
12,177,"High transaction fees","Zara Das from CloudMind Systems is concerned about the high transaction fees they are experiencing.",Billing,Medium,Open,Priya_Sharma,"2026-01-06 14:19:17","2026-06-18 18:46:14",NULL
